sentence_id,sentence_text_full,border_no_border
11,"Он бросился на колени перед иконою Божьей Матери и обратился к ней с пламенной молитвой, как единственной заступнице, от которой он мог еще ждать спасения.",no_border
12,"Но роковой день настал, и вместе с ним в его сердце вселилась уверенность в полной безнадежности его положения.",border
13,"Раздался колокольный звон, сопровождавший Хосефу на ее пути к месту казни, и отчаяние овладело его душой.",border
14,"Жизнь стала для него ненавистной, и он решил покончить с собою при помощи веревки, сохранившейся у него благодаря случайности.",border
15,"И вот, как выше было сказано, он уже стоял у столба и прикреплял к железной скобе, вправленной в карниз, веревку, которая должна была вырвать его из этой юдоли плача, как вдруг с ужасным грохотом, словно обрушился небесный свод, провалилась большая часть города, похоронив под своими обломками все, что было там живого.",no_border
16,"Херонимо Ругера окаменел от ужаса и, словно сознание его было разбито вдребезги, ухватился, чтобы не упасть, за тот самый столб, у которого искал смерти.",no_border
17,"Пол заколебался под его ногами, стены тюрьмы треснули, все здание накренилось, готовое рухнуть, и только здание на другой стороне улицы, которое, падая, случайно образовало свод с тюремным, задержало полное разрушение последнего.",no_border
18,"У Херонимо волосы встали дыбом и колени подкашивались; весь дрожа, он соскользнул по наклонной плоскости пола к отверстию, образовавшемуся в передней стене тюрьмы от столкновения обоих зданий.",no_border
19,"Но едва он оказался под открытым небом, как от вторичного подземного толчка вся остальная часть уже полуразрушенной улицы окончательно рухнула.",border
20,"Не отдавая себе отчета, каким образом может он спастись среди всеобщей гибели, он поспешно стал пробираться среди дымящихся развалин к ближайшим городским воротам, в то время как смерть грозила ему со всех сторон.",no_border
21,"Вот обрушился поблизости дом, далеко разбрасывая вокруг себя обломки, и загнал его в соседний переулок; здесь огненные языки, сверкая сквозь клубы дыма и вырываясь из крыш соседних домов, теснили его, объятого страхом, в другую улицу; там выступившая из берегов река Мапохо катила на него волны и с ревом гнала в третью улицу.",no_border
22,"Здесь лежала груда тел убитых, тут раздавались из-под развалин стоны, там люди испускали крики с объятых пламенем крыш, здесь люди и животные боролись с волнами, там мужественный человек старался помочь и спасти, тут стоял другой, бледный как смерть, неподвижно, безмолвно простирая дрожащие руки к небу.",no_border
23,"Достигнув ворот и взобравшись на холм, расположенный за ними, Херонимо упал, потеряв сознание.",border
24,"Пролежав в глубоком обмороке с четверть часа, он наконец очнулся и наполовину приподнялся с земли, спиною к городу.",no_border
25,"Он ощупал голову и грудь, еще не зная, в каком он состоянии, и его охватило невыразимое блаженство, когда подувший с моря западный ветер вдохнул в него новую жизнь, а глаза его, озираясь кругом, увидели цветущие окрестности Сантьяго.",no_border
26,"Только рассеянные толпы людей, которые были видны повсюду, смущали его сердце; он сразу не мог понять, что привело его и их на это место, и, лишь когда он обернулся и увидел позади себя провалившийся город, припомнилось ему пережитое им страшное мгновение.",no_border
27,"Он склонился так низко, что коснулся головою земли, благодаря Бога за свое избавление; и тотчас, словно то единственное ужасное воспоминание, которое запечатлелось в его сознании, вытеснило все остальные, он заплакал от радостного чувства, что может наслаждаться пестрыми явлениями жизни, снова ставшей для него драгоценной.",no_border
28,"Но вот, заметив на своей руке кольцо, он вдруг вспомнил и о Хосефе, и тут же в памяти его воскресли и тюрьма, и звон колоколов, который он там услыхал, и мгновение, предшествовавшее разрушению.",border
29,"Глубокое уныние охватило его душу; он стал раскаиваться в своей молитве, и страшным показалось ему то существо, которое царит над облаками.",border
30,"Он смешался с толпой людей, выбегавших из ворот и занятых спасением своего имущества, и отважился робко спросить о дочери Астерона и о том, успели ли ее казнить; однако никто не мог дать ему обстоятельного ответа.",no_border
31,"Какая-то женщина, тащившая на спине, почти пригнувшись к земле, огромный груз всякой рухляди, а у груди двух маленьких детей, отвечала ему мимоходом, словно она сама при этом присутствовала, что Хосефу обезглавили.",no_border
32,"Херонимо пошел назад и, так как по расчету времени он сам не мог сомневаться в том, что казнь успели совершить, то, уединившись в тихой роще, всецело отдался своему горю.",border
33,"Он желал, чтобы грозные силы природы снова обрушились на него.",no_border
34,"Ему казалось непонятным, почему как раз в те минуты, когда спасительница-смерть, которой искала горестная его душа, сама шла ему навстречу, он бежал ее.",border
35,"Он твердо решил на этот раз не отступать, хотя бы окружавшие его дубы были вырваны с корнем и их вершины рухнули на него.",no_border
36,"Затем, выплакав свое горе, он поднялся и, так как среди горючих слез в душе его снова возродилась надежда, начал обходить местность во всех направлениях.",border
37,"Он подымался на каждый холм, где собирались кучки людей; он бродил по всем дорогам, по которым еще двигался поток беглецов; где бы он ни увидал развевающееся на ветру женское платье, он устремлялся туда дрожащей поступью; однако ни одно из них не облекало члены любимой им дочери Астерона.",no_border
38,"Солнце склонялось к закату, и с ним вместе исчезала его надежда; но вот он подошел к краю скалы, и перед ним открылся вид на широкую долину, в которую забрело лишь немного людей.",border
39,"В нерешительности, что ему предпринять, он окинул взором отдельные группы их и хотел уже повернуть обратно, как вдруг увидал у источника, орошавшего ущелье, молодую женщину, купавшую ребенка в его чистых водах.",no_border
40,"Сердце его забилось при этом зрелище; исполненный предчувствия, с криком: «Матерь Божья, о благодатная!» – он большими прыжками стал спускаться по камням и тут узнал Хосефу, робко оглянувшуюся на шум.",no_border
41,"С каким восторгом обнялись несчастные, которых спасло лишь чудо, ниспосланное небом!",border
42,"Хосефа на своем смертном пути уже совсем приблизилась к лобному месту, когда грохот разрушавшихся зданий разогнал все шествие, направлявшееся к месту казни.",border
43,"В ужасе бросилась она прямо к ближайшим воротам; однако скоро опомнилась и, повернув назад, поспешила в монастырь, где оставался ее маленький, беспомощный мальчик.",border
44,"Она нашла весь монастырь уже объятым пламенем, и игуменья, которая в те мгновения, кои должны были стать последними в жизни Хосефы, обещала ей позаботиться о младенце, стояла у ворот монастыря и звала на помощь, чтобы его спасти.",border
45,"Хосефа неустрашимо бросилась сквозь дым, валивший ей навстречу, в рушившееся со всех сторон здание и, словно под защитой всех небесных ангелов, вышла снова целая и невредимая из дверей монастыря с ребенком на руках.",no_border
46,"Она хотела броситься в объятия игуменьи, возложившей ей на голову благословляющие руки, но в это мгновение игуменья и почти все монахини нашли плачевный конец под обрушившейся на них кровлей.",border
47,"Хосефа при этом ужасном зрелище отпрянула назад; поспешно закрыв игуменье глаза, она бросилась бежать, объятая страхом, спасая своего дорогого мальчика, которого небо вновь ей даровало.",border
48,"Не успела она пройти и нескольких шагов, как навстречу ей пронесли изувеченное тело архиепископа, которое только что извлекли из-под развалин собора.",border
49,"Дворец вице-короля провалился, здание суда, где ей вынесли приговор, было объято пламенем, а на месте, где прежде стоял дом ее отца, образовалось кипящее озеро, над которым клубились красноватые пары.",border
50,"Хосефа собрала все свои силы, чтобы удержаться на ногах.",no_border
51,"Отважно шагала она из улицы в улицу со своей добычей, подавив в сердце печаль, и уже приближалась к городским воротам, когда ей бросилась в глаза обращенная в груду развалин тюрьма, в которой томился Херонимо.",no_border
52,"При виде ее она зашаталась и едва не упала в обморок на углу улицы, но в ту же минуту внезапный испуг от падения позади нее полуразрушенного многими толчками здания придал ей новые силы и погнал ее вперед.",no_border
53,"Она поцеловала ребенка, осушила слезы и, не обращая больше внимания на окружавшие ее ужасы, благополучно достигла ворот.",border
54,"Оказавшись под открытым небом, она скоро пришла к заключению, что не все те, кто находился в рухнувших зданиях, непременно должны были погибнуть под их развалинами.",border
55,"Она остановилась на ближайшем перекрестке и стала поджидать, не появится ли тот, кто после маленького Филиппа был для нее дороже всего на свете.",no_border
56,"Но так как он не появлялся, а толпы беглецов все нарастали, она отправилась дальше, не раз останавливаясь в ожидании и оглядываясь назад; под конец, проливая обильные слезы, она уныло побрела в темную, осененную пиниями долину, дабы помолиться о его душе, отлетевшей, как она предполагала, в иной мир; и здесь-то, в этой долине, обрела его, возлюбленного, и блаженство, словно то была долина Эдема.",border
57,"Все это она, глубоко растроганная, передала Херонимо и, закончив свой рассказ, протянула ему для поцелуя ребенка.",no_border
58,"Херонимо взял его на руки и стал нянчить с несказанной отеческой радостью, а когда ребенок при виде чужого лица заплакал, он закрыл ему рот бесчисленными поцелуями.",no_border
59,"Тем временем спустилась чудная ночь, полная дивных, нежных благоуханий, такая серебристая и тихая, какая могла бы пригрезиться только поэту.",border
60,"Повсюду вдоль ручья, орошавшего долину, в блеске лунного сияния расположились люди и готовили себе мягкие ложа из мха и листьев, чтобы отдохнуть после столь мучительного дня.",no_border
61,"И так как несчастные горько сетовали – один, оплакивая утрату дома, другой – жены и ребенка, третий – потерю всего, – то Херонимо и Хосефа потихоньку удалились в более густую заросль, дабы не оскорбить кого-либо тайным ликованием, наполнявшим их сердца.",border
62,"Они нашли великолепное гранатовое дерево, широко раскинувшее свои ветви, увешанные душистыми плодами, на вершине которого сладострастно заливался соловей.",no_border
63,"Здесь, у самого ствола, опустился Херонимо, в его объятиях покоилась Хосефа, держа на руках Филиппа; так отдыхали они, закутавшись его плащом.",no_border
64,"Тень дерева с ее изменчивыми бликами уже сошла с них, и лунный свет поблек с появлением утренней зари, прежде чем они заснули.",no_border
65,"Ведь у них были неисчерпаемые темы для разговоров – и о монастырском саде, и о темницах, в которых они были заключены, и о том, что они выстрадали друг за друга; и их очень трогало, когда они думали, сколько горя должно было излиться над миром для того, чтобы они были счастливы.",no_border
66,"Они решили тотчас же, как прекратится землетрясение, отправиться в Ля-Консепсьон, где проживала близкая подруга Хосефы, и, заняв у нее, как они рассчитывали, немного денег, сесть на корабль и переехать в Испанию, где проживали родственники Херонимо с материнской стороны; там они предполагали счастливо закончить свои дни.",border
67,"Затем, среди бесчисленных поцелуев, они заснули.",no_border
68,"При их пробуждении солнце стояло уже высоко в небе; они увидали неподалеку от себя несколько семейств, занятых у костра приготовлением небольшого завтрака.",border
69,"Херонимо стал раздумывать о том, как бы ему достать пищи для своих, когда к Хосефе подошел молодой, хорошо одетый человек с ребенком на руках и скромно спросил ее, не покормит ли она грудью бедного малыша, мать которого лежит, раненная, там, под деревом.",border
70,"Хосефа несколько смутилась, узнав в нем знакомого; но когда, неправильно истолковав ее смущение, он добавил: – Всего несколько минут, донна Хосефа, – ребенок с самого того мгновения, которое всех нас повергло в несчастье, ничего не ел, – она сказала: – Я не ответила вам, дон Фернандо, по другой причине; в эти ужасные времена каждый, не отказываясь, должен делиться всем, что у него есть.",no_border
71,"– С этими словами она передала своего ребенка отцу, а чужого взяла на руки и поднесла к своей груди.",no_border
72,"Дон Фернандо был чрезвычайно благодарен и предложил ей присоединиться к обществу, собравшемуся у костра, где как раз готовился небольшой завтрак.",border
73,"Хосефа отвечала, что весьма охотно принимает это предложение и, так как Херонимо не возражал, последовала за Фернандо к его семейству, где обе его свояченицы, которых она знала как весьма достойных молодых дам, приняли ее самым радушным и ласковым образом.",no_border
74,"Донна Эльвира, супруга дона Фернандо, получившая тяжкие ранения ног, лежала на земле; увидав своего изнуренного ребенка у груди Хосефы, она ласково привлекла ее к себе.",border
75,"Ее свекор, дон Педро, раненный в плечо, приветливо кивнул ей.",no_border
76,В душе у Хосефы и у Херонимо шевельнулось странное чувство.,no_border
77,"Замечая доброту и приветливость в обращении с ними, они в недоумении вспоминали столь недавнее прошлое – и лобное место, и темницу, и звон колоколов, и им приходило в голову, не видели ли они все это во сне.",no_border
78,"Казалось, что страшный удар, который потряс души людей до основания, всех их умиротворил.",no_border
79,Их воспоминания как-то не шли дальше этого мгновения.,no_border
80,"Одна только донна Элисабета, которая была приглашена подругой на вчерашнее утреннее зрелище, но приглашения этого не приняла, по временам останавливала задумчивый взгляд на Хосефе; однако новое сообщение о каком-либо ужасающем несчастье всякий раз возвращало к действительности ее унесшуюся было душу.",no_border
81,"Рассказывали, как при первом же сильном подземном толчке город оказался полон женщин, которые на глазах у мужчин разрешались от бремени, как монахи бегали с крестом в руке и кричали, что настал конец света; как ответили страже, потребовавшей именем вице-короля, чтобы очистили церковь: что в Чили теперь уже нет никакого вице-короля!",border
82,"Как вице-король в самые ужасные мгновения был вынужден отдать приказ поставить несколько виселиц, дабы положить конец распространившимся грабежам, и как один ни в чем не повинный человек, спасавшийся через черный ход горевшего дома, был схвачен второпях домовладельцем и тут же вздернут как грабитель.",border
83,"Донна Эльвира, над ранениями которой хлопотала Хосефа, улучила минуту, когда разговор стал особенно оживленным, чтобы спросить, что с нею приключилось в этот ужасный день.",no_border
84,"Когда же Хосефа с сердечным волнением поведала ей в общих чертах свои приключения, то для нее было истинной отрадой увидеть, как глаза этой дамы наполнились слезами; донна Эльвира схватила ее руку, пожала ее и сделала знак, чтобы она замолчала.",no_border
85,"Хосефе казалось, что она в раю.",no_border
86,"Чувство, которое она не могла в себе подавить, говорило ей, что минувший день, который принес столько бед всему свету, был такой милостью, какой небо еще ни разу не изливало на нее.",no_border
87,"И в самом деле, в эти ужасающие мгновения, когда гибли все земные блага людей и всей природе грозило разрушение, дух человека, казалось, раскрывался, как дивный цветок.",no_border
88,"На полях – всюду, куда только ни достигал взор, – лежали вперемешку люди всех званий и состояний: князья и нищие, знатные дамы и крестьянки, государственные чиновники и поденщики, монахи и монахини, и все жалели друг друга, помогали друг другу, с радостью делясь тем, что каждый из них спас от погибели для поддержания своего существования, словно общее несчастье слило в одну семью всех тех, кто его избежал.",no_border
89,"Вместо пустых разговоров за чайным столом, содержанием которых служили светские пересуды, теперь рассказывали о примерах великих деяний; люди, на которых дотоле мало обращали внимания в обществе, теперь проявили величие души, достойное древних римлян; приводились тысячи примеров бесстрашия, радостного презрения к опасности, самоотречения и дивного самопожертвования; случаи, когда многие не колеблясь жертвовали жизнью, словно самым ничтожным благом, которое можно тут же снова приобрести.",border
90,"В самом деле, так как не было человека, с кем бы не приключилось чего-нибудь умилительного или кто бы не совершил какого-нибудь великодушного поступка, то в груди каждого из присутствующих к горю примешано было столько услады, что трудно было сказать, не повысилась ли с одной стороны сумма общего благополучия настолько же, насколько она понизилась с другой стороны.",no_border
91,"Херонимо взял Хосефу под руку, после того как они молча поразмыслили на эту тему, и они с неизъяснимой радостью стали прогуливаться в тенистых кущах гранатовой рощи.",border
92,"Он сказал ей, что, принимая во внимание теперешнее настроение умов и полный переворот мыслей и отношений, он отказывается от своего намерения переселиться в Европу; что он отважится пасть к ногам вице-короля, если он остался в живых, так как последний относился к нему благосклонно, и что он питает надежду (при этом он ее поцеловал) остаться с нею в Чили.",no_border
93,"Хосефа отвечала, что и ей эти мысли приходили в голову, что и она не сомневается в том, что ей удастся добиться примирения с отцом, если он остался жив, но что она советует вместо того, чтобы лично, пав к ногам вице-короля, испросить у него прощение, отправиться в Ля-Консепсьон, откуда уже письменно хлопотать о помиловании: там ведь они на всякий случай будут поближе к гавани, а если дело примет желаемый оборот, смогут сразу же вернуться в Сантьяго.",no_border
94,"После краткого размышления Херонимо признал благоразумие этой меры; еще некоторое время прогуливались они по тропинкам, мысленно переносясь в радостное будущее, а затем присоединились к обществу.",no_border
95,"Между тем миновал полдень, и, так как подземные толчки ослабели, бродившие повсюду беглецы несколько успокоились, когда распространилась молва, что в церкви доминиканского монастыря, единственной, которую пощадило землетрясение, сам настоятель монастыря будет служить торжественную мессу, моля небо отвратить от города дальнейшие беды.",border
96,Отовсюду уже начал собираться народ и потоками устремился в город.,border
97,"В кружке дона Фернандо поднялся вопрос, не принять ли участие в этом торжестве, присоединившись к остальным богомольцам.",no_border
98,"Донна Элисабета с некоторым волнением напомнила, какое несчастье имело место накануне в этой церкви, добавив, что подобные благодарственные моления будут еще не раз повторяться, когда станет ясно, что опасность окончательно миновала и можно будет отдаться религиозному настроению с тем большей радостью и спокойствием.",no_border
99,"На это Хосефа, быстро поднявшись, с воодушевлением возразила, что никогда еще не ощущала такой сильной потребности повергнуться в прах перед Создателем, как сейчас, когда Он проявил свое высокое и непостижимое могущество.",no_border
100,Донна Эльвира с живостью присоединилась к мнению Хосефы.,no_border
101,"Она настаивала на том, что надо идти к обедне, и предложила дону Фернандо повести все общество, после чего все, не исключая и донны Элисабеты, поднялись с мест.",no_border
102,"Однако, так как все заметили, что она лишь нерешительно и с вздымающейся от волнения грудью приступила к сборам в путь, а на вопрос, что с нею, ответила, что сама не знает, какое тягостное предчувствие ее гнетет, то донна Эльвира постаралась ее успокоить, предложив ей остаться с нею и с ее больным отцом.",no_border
103,"Хосефа сказала: – В таком случае, донна Элисабета, вы, верно, возьмете у меня моего маленького любимца, который, как видите, снова оказался у меня.",border
104,– Весьма охотно!,no_border
105,"– отвечала донна Элисабета и собралась взять мальчика на руки, но так как он, протестуя против подобной несправедливости, поднял жалобный крик и ни за что не хотел с этим согласиться, то Хосефа заявила с улыбкой, что она оставит его у себя, и успокоила поцелуями.",no_border
106,"После этого дон Фернандо, которому чрезвычайно нравилась ее достойная и привлекательная манера держать себя, предложил ей руку; Херонимо, державший на руках маленького Филиппа, повел донну Констанцу, а за ними следовали все остальные, присоединившиеся к их обществу, и в таком порядке шествие направилось в город.",border
107,"Но едва они отошли на пятьдесят шагов, как услыхали, что донна Элисабета, тем временем с жаром о чем-то шептавшаяся с донной Эльвирой, закричала: «Дон Фернандо!» – и увидали, что она тревожными шагами спешит за ними.",border
108,"Дон Фернандо замедлил шаг и обернулся; он поджидал ее, не выпуская руки Хосефы, и, когда она на некотором расстоянии остановилась, словно ожидая, что он пойдет к ней навстречу, спросил, что ей нужно.",no_border
109,"Донна Элисабета приблизилась к нему, хотя и с видимым неудовольствием, и прошептала ему несколько слов на ухо, так, чтобы Хосефа не могла их слышать.",no_border
110,"Дон Фернандо спросил: – Ну а несчастье, которое может из этого произойти?",border
111,Донна Элисабета с расстроенным лицом продолжала шептать ему что-то на ухо.,no_border
112,"Дон Фернандо покраснел от досады; он отвечал: – Ну ладно, пусть донна Эльвира не беспокоится, – и повел свою даму дальше.",border
113,"Когда они прибыли в церковь доминиканского монастыря, в ней уже раздавались великолепные звуки органа и внутри кишела несметная толпа.",border
114,"Толпа теснилась и за порталом на площади перед церковью, а по стенам, держась за рамы икон, в нетерпеливом ожидании висели мальчики с шапками в руках.",no_border
115,"Яркий свет изливали все паникадила, столбы, подпиравшие своды, бросали в наступающих сумерках таинственную тень, роза из разноцветных стекол в глубине церковной апсиды горела, как само заходящее солнце, освещавшее ее, и когда орган вдруг смолк, то воцарилась глубокая тишина, словно вся толпа затаила дыхание.",no_border
116,"Никогда еще ни одна христианская церковь не излучала к небу столько пламенного благочестия, как в этот день доминиканская церковь в Сантьяго, и ничье сердце не пылало жарче, чем сердца Херонимо и Хосефы!",border
117,"Торжество открылось проповедью, которую произнес с кафедры старейший каноник в праздничном облачении.",no_border
118,"Высоко подняв к небу дрожащие руки, с которых ниспадали складки его стихаря, он сразу начал с хвалы, прославления и благодарения за то, что в этой разрушающейся части света еще сохранились люди, способные обратиться к Богу с молитвой, хотя бы коснеющим языком.",no_border
119,"Он изобразил то, что произошло по мановению Всемогущего: Страшный суд не может быть ужаснее; когда же, указывая перстом на трещину в своде, он назвал вчерашнее землетрясение лишь предвестником этого суда, трепет пробежал по всему собранию.",border
120,"Затем, увлекаемый потоком духовного красноречия, он перешел к испорченности городских нравов; кара постигла город за мерзости, каких не видали в своих стенах Содом и Гоморра, и лишь безграничному Божьему долготерпению приписывал он то, что город не был окончательно сметен с лица земли.",no_border
121,"Но как кинжалом пронзило сердца наших двух несчастных, и без того потрясенных проповедью, когда каноник по этому поводу подробно остановился на преступлении, совершенном в монастырском саду кармелитского монастыря; назвал безбожною ту снисходительность, с которой свет к нему отнесся, и, уклонившись в сторону, среди ужасных проклятий предал души виновников, которых он назвал по имени, всем князьям преисподней!",border
122,"Донна Констанца воскликнула, судорожно ухватившись за руку Херонимо: «Дон Фернандо!» Но тот отвечал настолько настойчиво и тихо, насколько это было возможно в одно и то же время: – Замолчите, донна, ни малейшего движения, даже глазом не моргните, но притворитесь, что вам сделалось дурно, и мы тогда покинем церковь.",no_border
123,"Однако, прежде чем успела донна Констанца выполнить эту благоразумно придуманную меру для их спасения, чей-то громкий голос, прервав проповедь каноника, воскликнул: – Расступитесь, граждане Сантьяго, эти безбожники стоят здесь, среди нас!",border
124,"И когда другой голос с ужасом, который передался стоявшим вокруг него, спросил: «Где?» – «Здесь!» – отвечал третий и в благочестивом исступлении с такой силой рванул за волосы Хосефу, что она упала бы вместе с сыном дона Фернандо, если бы этот последний ее не поддержал.",no_border
125,– С ума вы сошли!,no_border
126,"– воскликнул юноша, охватив рукою Хосефу.",no_border
127,"– Я дон Фернандо Ор-мес, сын городского коменданта, которого все вы знаете.",border
128,– Дон Фернандо Ормес?,no_border
129,"– воскликнул, став вплотную, рядом с ним, башмачник, когда-то работавший на Хосефу и знавший ее так же хорошо, как и ее маленькие ножки.",no_border
130,– Кто отец этого ребенка?,border
131,– обратился он с наглым вызовом к дочери Астерона.,border
132,"Дон Фернандо побледнел при этом вопросе; он то кидал робкие взоры на Херонимо, то оглядывал толпу, не найдется ли среди нее хоть один человек, который бы его знал.",no_border
133,"Угнетаемая ужасом Хосефа воскликнула: – Это не мой сын, как вы думаете, мастер Педрильо!",border
134,– и в несказанном страхе взглянула на дона Фернандо.,no_border
135,"– Этот молодой человек – дон Фернандо Ормес, сын городского коменданта, которого все вы знаете.",no_border
136,"Башмачник спросил: – Кто из вас, граждане, знает этого молодого человека?",no_border
137,"И многие из стоявших кругом повторили: – Кто знает Херонимо Ругеру, пусть выступит вперед!",no_border
138,"Тут случилось, что маленький Хуан, испуганный шумом и смятением, потянулся с рук Хосефы на руки к дону Фернандо.",border
139,«Вот он – отец!» – завопил тогда какой-то голос; и: «Вот он – Херонимо Ругера!» – второй; и: «Вот они – святотатцы!» – третий; и: «Побейте их камнями!,no_border
140,Побейте их камнями!» – весь собравшийся в храме Иисуса христианский народ.,no_border
141,"Херонимо воскликнул: – Остановитесь, бесчеловечные люди!",border
142,Если вы ищете Херонимо Ругеру – так вот он!,no_border
143,Оставьте этого ни в чем не повинного человека!,no_border
144,"Беснующаяся толпа, смущенная заявлением Херонимо, остановилась, озадаченная; несколько рук отпустили дона Фернандо; в это мгновение к ним поспешно приблизился морской офицер высокого ранга и, протеснившись сквозь окружавшую их шумную толпу, спросил: – Дон Фернандо Ормес!",border
145,Что случилось с вами?,no_border
146,"Тот отвечал, уже совершенно освободившись, с истинно героической находчивостью: – Да!",no_border
147,"Посмотрите-ка, дон Алонсо, на этих злодеев!",border
148,"Я бы погиб, если бы этот достойный человек для успокоения разъяренной толпы не выдал себя за Херонимо Ругеру.",no_border
149,"Будьте добры, арестуйте его вместе с этой молодой дамой, ради их обоюдной безопасности, а вместе с тем и этого негодяя, – добавил он, хватая башмачника Педрильо, – который поднял весь этот бунт.",no_border
150,Башмачник воскликнул: – Дон Алонсо Онореха!,border
151,"Ответьте по совести, разве эта девица не Хосефа Астерон?",no_border
152,"Так как дон Алонсо, прекрасно знавший Хосефу, медлил с ответом и несколько голосов со вновь вспыхнувшим бешенством завопили: «Это – она!",border
153,"Это – она!» и «Смерть ей!» – то Хосефа, передав на руки дону Фернандо маленького Хуана и маленького Филиппа, которого до сих пор держал Херонимо, сказала: – Идите, дон Фернандо, спасайте своих обоих детей и предоставьте нас нашей участи!",no_border
154,"Дон Фернандо, приняв от нее детей, сказал, что он скорее готов погибнуть, чем допустить, чтобы кому-нибудь из его спутников причинили зло.",no_border
155,"Выпросив у морского офицера шпагу, он подал Хосефе руку и предложил другой паре следовать за ним.",no_border
156,"Им действительно удалось выйти из церкви, так как при подобных приготовлениях толпа расступилась перед ними с достаточной почтительностью; и они уже почитали себя спасенными.",no_border
157,"Но едва ступили они на площадь, также наполненную народом, как из преследовавшей их разъяренной толпы раздался голос: «Это – Херонимо Ругера, граждане, ведь я – его отец!» – и страшный удар дубины поверг его на землю.",border
158,"Шедшая с ним рядом донна Констанца с криком: «Иисус-Мария!» – бросилась к своему зятю, но уже раздался крик: «Монастырская девка!» – и удар дубины, нанесенный с другой стороны, поверг на землю рядом с Херонимо и ее, бездыханную.",no_border
159,"– Чудовище, – закричал неизвестный, – это ведь донна Констанца Ксарес!",no_border
160,– Зачем они нас обманывали!,no_border
161,– отвечал башмачник.,no_border
162,– Отыщите настоящую и убейте ее!,border
163,"Дон Фернандо, увидав труп донны Констанцы, воспылал гневом; он выхватил меч из ножен, взмахнул им и рассек бы пополам фанатика-злодея, вызвавшего все эти зверства, если бы тот не уклонился от удара.",no_border
164,"Но так как он не мог бы одолеть наступавшей на него толпы, то Хосефа с криком: «Прощайте, дон Фернандо, и будьте благополучны вы и дети!",border
165,Вот!,no_border
166,"Убейте же меня, кровожадные тигры!» – бросилась добровольно в толпу, чтобы прекратить побоище.",border
167,Педрильо ударом дубины свалил ее с ног.,no_border
168,"Затем, обрызганный ее кровью, завопил: «Пошлите ее ублюдка за ней в преисподнюю!» – и ринулся с еще не утоленной жаждой крови снова вперед.",border
169,"Дон Фернандо, этот богоподобный герой, стоял теперь, прислонившись спиною к церковной стене; левой рукой держал он детей, правой – меч!",border
170,"Каждым ударом он, словно молнией, поражал одного из нападавших; лев не мог бы обороняться лучше.",no_border
171,Перед ним уже лежали во прахе семь кровожадных псов; сам вождь сатанинской шайки был ранен.,border
172,"Однако мастер Педрильо не успокоился до тех пор, пока ему не удалось за ноги оторвать у него от груди одного из мальчиков; он взмахнул им высоко над головою и раздробил его об угол одного из церковных пилястров.",border
173,"После этого настала тишина, и все разошлись.",border
174,"Увидев перед собою своего маленького Хуана лежащим на земле с раздробленным черепом, из которого вытекал мозг, дон Фернандо с несказанным страданием возвел очи к небу.",border
175,"Морской офицер подошел к нему снова, пытался его утешить и уверял, что глубоко раскаивается в своем бездействии во время этой катастрофы, хотя в данном случае многие обстоятельства могли бы служить ему оправданием; на это дон Фернандо отвечал, что его ни в чем упрекнуть нельзя и он только просит его помочь унести тела убитых.",no_border
