sentence_id,sentence_text_full,border_no_border
29,Deep sorrow again filled his heart; he began to regret his prayer and to think with horror of the Being who rules above the clouds.,no_border
30,"He mixed with the people who, busy salvaging their possessions, were pouring out of all the city gates, and ventured a few diffident inquiries about Asterón’s daughter and whether the sentence against her had been carried out; but there was no one who could give him detailed information.",no_border
31,"A woman carrying an enormous load of household goods on her shoulders, bent almost to the ground and with two small children clinging to her breast, said as she passed, as if she herself had witnessed it, that Josefa had been beheaded.",border
32,"Jerónimo turned away from her; and since he himself, on calculating the time, felt no doubt that the execution had taken place, he sat down in a lonely wood and abandoned himself entirely to his grief.",border
33,He wished that the destructive fury of nature might unleash itself on him once more.,no_border
34,"He could not understand why he had escaped the death which his afflicted soul desired, when in those very moments, on all sides, it had of its own accord been offering him deliverance.",no_border
35,He firmly resolved not to flinch if even now the oak trees should be uprooted and their crests come crashing down upon him.,no_border
36,"Presently, when he had finishing weeping and in the midst of his hottest tears hope had come to him again, he stood up and began exploring the whole area.",no_border
37,"He visited every hill-top on which people had gathered; on every road along which fugitives were still streaming, he went to meet them; wherever he caught sight of a woman’s dress fluttering in the wind, there with trembling feet he hastened : but never was the wearer his beloved Josefa.",no_border
38,"The sun was going down, and his hopes with it, when he reached the edge of a cliff and from there could look down into a wide valley to which only a few people had come.",border
39,"Not sure what to do, he passed quickly among the different groups and was about to turn back again when suddenly, beside a stream that flowed through the ravine, he noticed a young woman busy washing a child in its waters.",border
40,"And at this sight his heart leapt up: eager with expectation he ran down over the rocks, and with a cry of ‘Oh, holy Mother of God!’ he recognized Josefa as on hearing his approach she shyly looked round.",no_border
41,"With what ecstasy they embraced, the unhappy pair, saved by a divine miracle!",border
42,"On her way to her death, Josefa had already nearly reached the place of execution when suddenly the buildings had begun crashing down and scattered in all directions the procession that was leading her to the block.",border
43,"Her first terrified steps carried her towards the nearest gate of the town; but almost at once, regaining her presence of mind, she turned round and rushed back to the convent where she had left her helpless little son.",border
44,"She found the whole building already in flames, and the Abbess, who during those minutes which were to have been her last had promised to take care of her baby, was at the entrance crying out for help to rescue him.",border
45,"Josefa, undeterred by the smoke billowing towards her, dashed into the convent, which was already collapsing all round her and, as if protected by all the angels in heaven, emerged again uninjured at its gate, carrying her child.",no_border
46,"She was just about to embrace the Abbess when the latter, who had clasped her hands in blessing over her, was ignominiously struck dead by a falling gable, together with nearly all her nuns.",border
47,"Josefa retreated trembling at this dreadful sight; she hastily closed the Abbess’s eyes and fled, utterly terrified, to bring to safety her beloved boy whom heaven had restored to her again.",border
48,"She had taken only a few steps when she found before her the mangled body of the Archbishop, which had just been dragged from under the wreckage of the cathedral.",border
49,"The Viceroy’s palace had collapsed, the law court in which sentence had been passed on her was in flames, and in the place where her father’s house had stood there was now a seething lake from which reddish vapours were rising.",border
50,"Josefa summoned up all her strength to sustain her, hardening herself against all these distressing sights, and walked on bravely from street to street with her recaptured treasure.",no_border
51,She was already near the gate when she saw the prison in which Jerónimo had languished: it too was in ruins.,border
52,"She reeled at this sight and nearly fell down in a swoon at the street corner, but at that very moment a building, its foundations loosened by the tremors, crashed down behind her and drove her on, fortified again by terror.",border
53,"She kissed her child, dashed the tears from her eyes, and no longer heeding the horrors that surrounded her reached the gate.",no_border
54,When she found herself in open country she soon realized that not everyone who had been inside a demolished building had necessarily been crushed beneath it.,border
55,"At the next crossroads she paused and waited, wondering whether the person who, after her little Felipe, was dearest to her in the world, might yet appear.",no_border
56,"But since he did not come and more and more people thronged past, she continued on her way, and turned round again, and waited again; then turned aside, shedding many tears, into a dark pine-shaded valley to pray for his (as she believed) departed soul; and here in this valley she found him, her lover, and with him such joy that the valley might have been the Garden of Eden.",border
57,"All this, in a voice filled with emotion, she now told Jerónimo, and when she had finished, gave him the boy to kiss.",border
58,"Jerónimo, with all the inexpressible delight of fatherhood, took him and hugged him, and, when his unfamiliar face made the little one cry, kept caressing him till he was silent.",no_border
59,"In the meantime the loveliest of nights had fallen, wonderfully mild and fragrant, silvery and still, a night such as only a poet might dream of.",border
60,"Everywhere along the banks of the stream, in the glittering moonlight, people had settled and were preparing soft beds of moss and foliage on which to rest after so harrowing a day.",no_border
61,"And since these poor victims of the disaster were still lamenting, one the loss of his house, another that of his wife and child, and a third that of everything he had possessed, Jerónimo and Josefa slipped away into a denser part of the wood, not wanting to give offence to anyone by the secret exultation of their own hearts.",border
62,"They found a splendid pomegranate tree, its outspread branches heavy with scented fruit, and high on its crest the nightingale piped its voluptuous song.",no_border
63,"Here, with Jerónimo leaning against its trunk and covering them with his cloak, they sat down to rest, Josefa on his lap and Felipe on hers.",no_border
64,"The tree’s shadow with its scattered points of light passed over them, and the moon was already fading in the glow of dawn before they slept.",no_border
65,"For there was no end to what they had to talk about, the convent garden, their prisons, and what they had suffered for each other’s sake; and it moved them greatly to think how much misery had had to afflict the world in order to bring about their happiness.",no_border
66,"They decided that as soon as the tremors had ceased they would go to La Concepción, for Josefa had an intimate friend there, and with a small sum of money she hoped to borrow from her they would be able to embark there for Spain, where Jerónimo’s relatives on his mother’s side lived; there they could be happy for the rest of their days.",border
67,"Upon this thought, amid many kisses, they fell asleep.",no_border
68,"When they woke, the sun was already well up in the sky, and they noticed not far from them several families busy making themselves some breakfast at a fire.",border
69,"Jerónimo was just wondering how he too could get some food for his child and its mother when a well-dressed young man, carrying an infant, approached Josefa and asked her politely whether she would be willing to feed at her breast for a while this poor little creature, whose mother was lying injured over there among the trees.",border
70,"Josefa was thrown into some embarrassment when she recognized him as an acquaintance; but when, misinterpreting her confusion, he continued: ‘It will only be for a few minutes, Doña Josefa, and this child has not been fed since the time of the disaster which overtook us all,’ she said, ‘I had – a different reason for not replying, Don Fernando; in a terrible time like this no one can refuse to share whatever they may have.’ So saying she took the little stranger, handing her own child to its father, and put it to her breast.",no_border
71,"Don Fernando was most grateful for this kindness and asked her to come with him to his own party, where breakfast was just being prepared at the fire.",border
72,"Josefa answered that she would accept the invitation with pleasure and, since Jerónimo also made no objection, she accompanied Don Fernando to his family, where his two sisters-in-law, whom she knew to be young ladies of excellent character, received her most warmly and affectionately.",no_border
73,"Doña Elvira, Don Fernando’s wife, was lying on the ground with her feet seriously injured, and when she saw her sickly little boy at Josefa’s breast she drew the latter down towards her and kissed her lovingly.",border
74,"Don Pedro, Elvira’s father, who was wounded in the shoulder, also nodded to her in the most friendly manner.",border
75,In the minds of Jerónimo and Josefa strange thoughts began to stir.,border
76,"When they found themselves treated with so much familiarity and kindness they did not know what to think of the recent past: of the place of execution, the prison and the bells; or had all these been merely a dream?",no_border
77,"It seemed that in everyone’s mind, after the terrible blow that had so shaken them all, there was a spirit of reconciliation.",no_border
78,Their memories seemed not to reach back beyond the disaster.,no_border
79,"Only Doña Isabel, who had been invited by a friend to witness yesterday’s spectacle but had declined the invitation, let her gaze rest pensively from time to time upon Josefa; but always her mind, having strayed only a little from the present, was snatched back into it as she heard the report of some new and ghastly misfortune.",no_border
80,"There were stories of how, immediately after the first main tremors, women all over the city had given birth to children in the sight of all the men; of how monks, crucifix in hand, had rushed hither and thither crying out that the end of the world had come; how on the Viceroy’s orders a guard had tried to clear the people out of a church, only to be told that there was no longer any Viceroy of Chile; how in the worst moments of the disaster the Viceroy had been obliged to have gallows erected to deter looters, and how one innocent man, escaping through a burning house by the back door, had been over- hastily arrested by the owner and strung up on the spot.",border
81,"Doña Elvira, whose injuries Josefa was busily tending, had taken the opportunity at a moment when these very tales were being most excitedly exchanged to ask her how, on that terrible day, she herself had fared.",no_border
82,"And when Josefa, her heart filled with anxiety, outlined to her some of the main features of her story, she had the joy of seeing the lady’s eyes fill with tears; Doña Elvira clasped her hand and pressed it, and with a gesture bade her say no more.",no_border
83,Josefa felt as if she were in the land of the blessed.,no_border
84,"She had a feeling, which she could not suppress, that the preceding day, despite all the misery it had brought upon the world, had been a mercy such as heaven had never yet bestowed on her.",no_border
85,"And indeed, in the midst of this horrifying time in which all the earthly possessions of men were perishing and all nature was in danger of being engulfed, the human spirit itself seemed to unfold like the fairest of flowers.",no_border
86,"In the fields, as far as the eye could see, men and women of every social station could be seen lying side by side, princes and beggars, ladies and peasant women, government officials and day labourers, friars and nuns: pitying one another, helping one another, gladly sharing anything they had saved to keep themselves alive, as if the general disaster had united all its survivors into a single family.",no_border
87,"Instead of the usual trivial tea-table gossip about the ways of the world, everyone was now telling stories of extraordinary heroic deeds.",border
88,"Persons hitherto held to be of little consequence in society had shown a Roman greatness of character; there were countless instances of fearlessness, of magnanimous contempt for danger, of self-denial and superhuman self-sacrifice, of life unhesitatingly cast away as if it were the most trifling of possessions and could be recovered a moment later.",no_border
89,"Indeed, since there was no one who on that day had not experienced some touching kindness or had not himself performed some generous action, the sorrow in every heart was mingled with so much sweetness and delight that Josefa felt it would be hard to say whether the sum of general well-being had not increased on the one hand by as much as it had diminished on the other.",no_border
90,"When they had both finished silently pondering these matters, Jerónimo took Josefa’s arm and in a state of inexpressible happiness walked up and down with her under the shady boughs of the pomegranate trees.",no_border
91,"He told her that, the public mood being now as it was and the old order of things having undergone such an upheaval, he was abandoning his intention of embarking for Europe; that since the Viceroy had always been favourably disposed towards his cause, he would venture a personal appeal to him, if he should still be alive; and that he thus hoped to be able – and he kissed her as he said so – to remain with her in Chile.",no_border
92,"Josefa replied that similar thoughts had occurred to her; that she too did not doubt that if her father were still alive he would be ready to forgive her; but that instead of the personal approach he had suggested she thought it would be more prudent to go to La Concepción and address a written petition to the Viceroy from there; there they would in any case be within reach of the port, and after all, if their negotiations should achieve the desired result, they could easily return to Santiago.",no_border
93,"After brief reflection Jerónimo expressed his approval of this wise precaution; they strolled a little further along the avenues of trees, thinking with happy anticipation of their future, and then rejoined the company.",no_border
94,"Meanwhile the afternoon had come, and since the tremors had abated, the fears of the wandering refugees had no sooner been somewhat calmed than the news spread that in the Dominican church, the only one the earthquake had spared, a solemn Mass would be read by the Prior of the monastery himself, who would implore heaven to prevent further disasters.",border
95,Everywhere people were already setting out and streaming towards the city.,border
96,Someone in Don Fernando’s party raised the question of whether they too should not participate in this solemnity and join the general procession.,no_border
97,"Doña Isabel, with some embarrassment, recalled the terrible misfortune the church had suffered on the previous day; she pointed out that such services of thanksgiving would certainly be repeated and that then, with the danger less fresh in their minds, they would be able to respond more gladly and more easily to the mood of thankfulness.",no_border
98,"Josefa, rising at once enthusiastically to her feet, declared that she had never felt a stronger impulse to cast herself down before her Maker than at this very time, when His incomprehensible and sublime power was being made so evident.",no_border
99,Doña Elvira emphatically endorsed Josefa’s opinion.,no_border
100,"She insisted that they should hear the Mass and called upon Don Fernando to lead the party, whereupon all of them rose from their seats, including Doña Isabel.",no_border
101,"But the latter, in making the various small preparations for her departure, seemed to do so tardily and with her heart beating fast; and on being asked what was wrong with her she replied that she had an unhappy foreboding, though she could not tell of what.",border
102,Doña Elvira calmed her and suggested that she should remain behind with her and her sick father.,no_border
103,"Josefa said: ‘In that case, Doña Isabel, perhaps you will relieve me of this little darling, who, as you can see, has found his way to me again.’ ‘Gladly,’ replied Doña Isabel, and reached out to take the baby; but when the latter wailed piteously at this infringement of his rights and would not consent to it on any terms, Josefa said with a smile that she would keep him and kissed him till he was quiet again.",no_border
104,"Then Don Fernando, who was charmed by the dignity and grace of her bearing, offered her his arm; Jerónimo, carrying little Felipe, escorted Doña Constanza; the others who had joined the party followed behind, and in this order they set off towards the city.",border
105,"They had scarcely walked fifty paces when Doña Isabel, who had been having an animated private discussion with Doña Elvira, was heard to call out: ‘Don Fernando!’ And she ran forward to catch them up, evidently in some agitation.",no_border
106,"Don Fernando stopped and turned round, waiting for her without letting go of Josefa’s arm; but when she remained standing some distance away as if waiting for him to come and meet her, he asked her what she wanted.",no_border
107,"At this Doña Isabel approached them, though evidently with reluctance, and murmured some words in his ear in such a way that Josefa could not hear them.",border
108,"‘Well?’ asked Don Fernando, ‘and what harm can come of that?’ Doña Isabel, looking quite distraught, continued to whisper sharply in his ear.",no_border
109,Don Fernando flushed with irritation and replied: ‘That will do!,no_border
110,"Tell Doña Elvira that there is no need for concern.’ So saying, he continued to escort Josefa on their way.",no_border
111,"When they arrived at the Dominican church the organ greeted them with splendid music, and an immense crowd was surging inside.",border
112,"The throng extended far beyond the portals into the square in front of the church, and inside it small boys had climbed up the walls and were perched against the frames of paintings, with their caps clutched expectantly in their hands.",no_border
113,"All the candelabra were blazing with light, the pillars cast mysterious shadows in the gathering dusk, the great rose window of stained glass at the far end of the church burned like the very evening sun that gleamed upon it, and now that the organ was silent, stillness reigned in the whole assembly as if everyone there had been struck dumb.",no_border
114,"Never did such a flame of zeal rise to heaven from a Christian cathedral as on that day from the Dominican church at Santiago, and no hearts nourished it with a warmer fervour than those of Jerónimo and Josefa.",border
115,"The service began with a sermon delivered from the pulpit by one of the oldest canons, vested in ceremonial robes.",no_border
116,"Raising his trembling hands high up to heaven, with the wide folds of his surplice flowing around them, he began at once to give praise and glory and thanks that there should still be, in this part of the world that was crumbling to ruins, men and women able to raise up their faltering voices to God; he described how, at the will of the Almighty, an event had taken place that must scarcely be less terrible than the Last Judgement; and when, nevertheless, pointing to a crack in the wall of the cathedral, he called yesterday’s earthquake a mere foretaste of that day of doom, a shudder ran through the whole congregation.",no_border
117,"From this point his flood of priestly eloquence bore him on to the subject of the city’s moral depravity: he castigated it for abominations such as Sodom and Gomorrah had not known, and ascribed it only to God’s infinite forbearance that Santiago had not been totally obliterated from the face of the earth.",no_border
118,"But what a piercing dagger-stroke it was to the hearts of our two unhappy friends, rent as they were already by the preacher’s words, when he took occasion to dwell in detail on the outrage that had been perpetrated in the garden of the Carmelite convent!",no_border
119,"He condemned as impious the indulgence with which it had been treated by society, and even digressed, with copious imprecations, to mention the two sinners themselves by name and to consign their souls to all the princes of hell.",no_border
120,"Doña Constanza, plucking Jerónimo by the arm, called out: ‘Don Fernando!’ but the latter replied as emphatically and at the same time as surreptitiously as possible, ‘Do not say a word, Doña; do not so much as move your eyes, but pretend that you are about to faint, and then we shall leave the church.’ But before Doña Constanza had even executed this ingenious stratagem for their escape, a voice, loudly interrupting the canon’s sermon, cried out: ‘Citizens of Santiago, here stand those two godless sinners!",no_border
121,"Keep clear, keep well away from them!’ And as a wide circle of people backed away in horror, a second terror- stricken voice asked: ‘Where?’ A third man replied: ‘Here!’ and filled with brutal fervour he seized Josefa by the hair and would have dragged her to the ground together with Don Fernando’s child, if the latter had not supported her.",no_border
122,"‘Are you mad?’ cried the young man, putting his arm round Josefa.",no_border
123,"‘I am Don Fernando Ormez, the son of the Commandant of this city, whom you all know.’ ‘Don Fernando Ormez?’ exclaimed someone who now came and stood right in front of him; he was a cobbler who had worked for Josefa and knew her at least as well as he knew her tiny feet.",border
124,"‘Who is this child’s father?’ he demanded, turning with shameless insolence to Asterón’s daughter.",border
125,Don Fernando turned pale at this question.,no_border
126,"By turns he glanced furtively at Jerónimo and scanned the congregation, to see if there was anyone who knew him.",no_border
127,"Under the constraint of this appalling situation Josefa cried out: ‘This is not my child, Master Pedrillo, as you think’; and looking at Don Fernando in unspeakable anguish of mind she added, ‘This young gentleman is Don Fernando Ormez, the son of the Commandant of this city, whom you all know!’ The cobbler asked: ‘Citizens, which of you knows this young man?’ And several of the bystanders repeated: ‘Who knows Jerónimo Rugera?",border
128,"Let him step forward!’ Now it so happened that at this very moment little Juan, frightened by the uproar, began struggling in Josefa’s arms and reaching out towards Don Fernando.",no_border
129,"At once a voice yelled: ‘He is the father!’ and another, ‘He is Jerónimo Rugera!’ and a third, ‘These are the blasphemers!’ And the whole assembly of Christians in that temple of Jesus raised a cry of ‘Stone them!",border
130,Stone them!’ At this Jerónimo now cried out: ‘Stop!,no_border
131,You monsters!,no_border
132,"If you are looking for Jerónimo Rugera, he is here!",border
133,"Set free that man, who is innocent!’ The furious mob, confused by Jerónimo’s words, hesitated; several hands released Don Fernando; and when at that moment a naval officer of high rank approached hurriedly and, pushing his way through the crowd, asked: ‘Don Fernando Ormez!",no_border
134,"What has happened to you?’, the latter, now quite free, replied with truly heroic presence of mind, ‘Why, look, Don Alonzo, what murderous villains these are!",no_border
135,I should have been a dead man if this worthy gentleman had not calmed the raging crowd by pretending to be Jerónimo Rugera.,no_border
136,"Be so kind as to take him into protective custody, and this young lady as well; and as for this scoundrel,’ he added, seizing Master Pedrillo, ‘arrest him, for it was he who started the whole commotion!’ The cobbler shouted: ‘Don Alonzo Onoreja, I ask you on your conscience, is this girl not Josefa Asterón?’ And when Don Alonzo, who knew Josefa well, hesitated before answering, and several people, stung to new fury by this, cried out: ‘It is her!",no_border
137,it is her!,no_border
138,"Kill her!’, Josefa placed both little Felipe, whom Jerónimo had hitherto been carrying, and little Juan in Don Fernando’s arms, and said, ‘Go, Don Fernando, save your two children and leave us to our fate!’ Don Fernando took both children and said he would sooner perish that allow any member of his party to suffer harm.",border
139,"He requested the naval officer to lend him his sword, offered his arm to Josefa, and told the couple behind them to follow him.",no_border
140,"And since in these circumstances the people made way for them with an adequate show of respect, they did indeed reach the door of the church, and thought themselves saved.",no_border
141,"But they had hardly entered the equally crowded forecourt when a voice from among the frenzied mob that had pursued them cried out: ‘Citizens, this is Jerónimo Rugera, for I am his own father!’ And the speaker, raising a cudgel, struck Jerónimo a colossal blow that felled him to the ground at Doña Constanza’s side.",border
142,‘Jesus!,no_border
143,"Holy Mother of God!’ screamed Doña Constanza, fleeing to her brother-in-law’s side; but immediately there was a cry of ‘Convent whore!’ and a second blow from another direction struck her down lifeless beside Jerónimo.",no_border
144,"‘Monsters!’ cried an unidentified bystander, ‘that was Doña Constanza Xares!’ ‘Why did they lie to us?’ retorted the cobbler.",border
145,"‘Find the right one, and kill her!’ Don Fernando, seeing Doña Constanza lying dead beside him, was maddened with rage; drawing and brandishing his sword, he aimed so furious a blow at the fanatical murderer who had instigated these horrors that it would have split him in half if the man had not dodged aside.",border
146,"But as he could not overpower the surging mass that pressed in on him, Josefa cried out: ‘Farewell, Don Fernando.",border
147,"Here I am, murder me, you bloodthirsty tigers!’ and voluntarily threw herself into their midst, to put an end to the fighting.",border
148,Master Pedrillo struck her dead with his club.,border
149,"Then, drenched with her blood, he shrieked: ‘Send her bastard to hell after her!’ and pressed forward again, his lust for slaughter not yet sated.",no_border
150,"Don Fernando, filled with superhuman heroism, was now standing with his back to the church; on his left arm he held the children, in his right hand his sword, and with every blow he struck one of his attackers down, his blade flashing like lightning; a lion could not have defended itself better.",border
151,"Seven of the butchers lay dead in front of him, and the prince of the satanic rabble was himself wounded.",no_border
152,"But Master Pedrillo would not give up until he had seized one of the infants by its legs, dragged it from Don Fernando’s grasp, and after whirling it round in the air above his head, dashed it against the edge of one of the pillars of the church.",no_border
153,"After this, silence fell and the whole crowd dispersed.",border
154,"When Don Fernando saw his little Juan lying at his feet with his brains oozing out, he raised his eyes to heaven in inexpressible anguish.",no_border
155,"The naval officer now rejoined him, tried to comfort him and assured him that although his own inaction during this terrible incident had been for various reasons justified, he now keenly regretted it; but Don Fernando said that there was no cause for reproaching him, and only asked him now to help remove the bodies.",no_border
156,"Night was falling, and in the darkness they were all carried to Don Alonzo’s house; Don Fernando followed, with little Felipe still in his arms and his bitter tears raining down on the child’s face.",border
157,"He also spent the night with Don Alonzo, and for some time refrained, by means of pretexts and fictions, from acquainting his wife with the full extent of the calamity; firstly because she was ill, and also because he did not know how she would judge his own conduct in the episode.",no_border
158,"But before long, accidentally learning from a visitor everything that had happened, this excellent lady quietly wept out her maternal grief, and one morning, with the trace of a tear glistening in her eye, threw her arms round her husband’s neck and kissed him.",border
159,"Don Fernando and Doña Elvira then adopted the little stranger as their own son; and when Don Fernando compared Felipe with Juan and the ways in which he had acquired the two of them, it almost seemed to him that he had reason to feel glad.",border
